Time;Open;High;Low;Close;Volume;Spread
2015.12.30 10:01;4,15;4,19;4,08;4,19;19;1
2015.12.30 10:02;4,18;4,18;4,18;4,18;1;1
2015.12.30 10:03;4,18;4,19;4,18;4,19;3;1
2015.12.30 10:05;4,19;4,19;4,15;4,15;6;1
2015.12.30 10:06;4,16;4,16;4,14;4,14;7;1
2015.12.30 10:07;4,14;4,14;4,14;4,14;2;1
2015.12.30 10:08;4,14;4,14;4,14;4,14;1;1
2015.12.30 10:09;4,15;4,16;4,15;4,16;2;1
2015.12.30 10:10;4,17;4,18;4,16;4,16;4;1
2015.12.30 10:12;4,17;4,17;4,17;4,17;1;1
2015.12.30 10:14;4,17;4,17;4,17;4,17;2;1
2015.12.30 10:15;4,18;4,18;4,18;4,18;1;1
2015.12.30 10:16;4,18;4,18;4,18;4,18;2;1
2015.12.30 10:17;4,18;4,18;4,18;4,18;1;1
2015.12.30 10:18;4,19;4,22;4,19;4,22;4;1
2015.12.30 10:19;4,19;4,19;4,18;4,18;6;1
2015.12.30 10:20;4,20;4,20;4,19;4,19;2;1
2015.12.30 10:22;4,20;4,20;4,20;4,20;6;1
2015.12.30 10:24;4,20;4,20;4,20;4,20;4;1
2015.12.30 10:25;4,20;4,20;4,20;4,20;1;1
2015.12.30 10:26;4,18;4,18;4,17;4,18;10;1
2015.12.30 10:27;4,18;4,19;4,18;4,19;3;1
2015.12.30 10:29;4,19;4,19;4,18;4,18;4;1
2015.12.30 10:30;4,19;4,19;4,18;4,19;3;1
2015.12.30 10:31;4,20;4,21;4,20;4,21;9;1
2015.12.30 10:33;4,20;4,21;4,20;4,21;3;1
2015.12.30 10:34;4,20;4,20;4,20;4,20;8;1
2015.12.30 10:35;4,20;4,21;4,18;4,18;16;1
2015.12.30 10:36;4,18;4,19;4,18;4,19;8;1
2015.12.30 10:38;4,19;4,19;4,19;4,19;2;1
2015.12.30 10:39;4,18;4,20;4,18;4,20;7;1
2015.12.30 10:40;4,20;4,20;4,17;4,17;8;1
2015.12.30 10:41;4,18;4,18;4,18;4,18;3;1
2015.12.30 10:42;4,19;4,19;4,18;4,19;9;1
2015.12.30 10:43;4,17;4,18;4,17;4,17;6;1
2015.12.30 10:45;4,17;4,17;4,16;4,16;14;1
2015.12.30 10:47;4,16;4,16;4,15;4,15;24;1
2015.12.30 10:48;4,15;4,15;4,15;4,15;4;1
2015.12.30 10:49;4,16;4,16;4,15;4,15;3;1
2015.12.30 10:50;4,16;4,16;4,14;4,14;9;1
2015.12.30 10:51;4,15;4,15;4,15;4,15;3;1
2015.12.30 10:52;4,15;4,16;4,15;4,16;5;1
2015.12.30 10:53;4,15;4,15;4,14;4,15;7;1
2015.12.30 10:54;4,14;4,16;4,14;4,16;3;1
2015.12.30 10:55;4,14;4,14;4,14;4,14;2;1
2015.12.30 10:56;4,15;4,16;4,15;4,15;7;1
2015.12.30 10:57;4,15;4,15;4,15;4,15;5;1
2015.12.30 10:58;4,15;4,15;4,15;4,15;1;1
2015.12.30 10:59;4,15;4,15;4,15;4,15;1;1
2015.12.30 11:01;4,15;4,16;4,15;4,16;2;1
2015.12.30 11:02;4,16;4,16;4,15;4,15;5;1
2015.12.30 11:03;4,16;4,16;4,15;4,15;3;1
2015.12.30 11:04;4,15;4,15;4,14;4,14;8;1
2015.12.30 11:05;4,14;4,14;4,14;4,14;3;1
2015.12.30 11:07;4,14;4,14;4,14;4,14;13;1
2015.12.30 11:08;4,13;4,13;4,12;4,12;12;1
2015.12.30 11:09;4,12;4,13;4,11;4,12;7;1
2015.12.30 11:10;4,11;4,12;4,11;4,12;5;1
2015.12.30 11:12;4,13;4,14;4,13;4,14;13;1
2015.12.30 11:13;4,14;4,15;4,14;4,15;9;1
2015.12.30 11:14;4,15;4,16;4,14;4,14;8;1
2015.12.30 11:15;4,14;4,14;4,14;4,14;9;1
2015.12.30 11:16;4,13;4,13;4,13;4,13;6;1
2015.12.30 11:17;4,13;4,15;4,13;4,15;7;1
2015.12.30 11:18;4,15;4,15;4,14;4,15;11;1
2015.12.30 11:19;4,14;4,14;4,14;4,14;7;1
2015.12.30 11:20;4,14;4,14;4,12;4,12;16;1
2015.12.30 11:21;4,13;4,14;4,12;4,13;13;1
2015.12.30 11:22;4,13;4,13;4,13;4,13;1;1
2015.12.30 11:24;4,13;4,14;4,13;4,14;3;1
2015.12.30 11:25;4,13;4,13;4,13;4,13;5;1
