Time;Open;High;Low;Close;Volume;Spread
2015.12.30 10:01;10,30;10,30;10,30;10,30;2;1
2015.12.30 10:06;10,30;10,38;10,30;10,38;4;1
2015.12.30 10:07;10,39;10,39;10,39;10,39;1;1
2015.12.30 10:08;10,32;10,32;10,31;10,32;3;1
2015.12.30 10:09;10,33;10,33;10,32;10,32;2;1
2015.12.30 10:13;10,40;10,52;10,40;10,52;17;1
2015.12.30 10:14;10,50;10,50;10,44;10,44;7;1
2015.12.30 10:15;10,43;10,44;10,43;10,44;5;1
2015.12.30 10:20;10,41;10,41;10,40;10,41;3;1
2015.12.30 10:22;10,38;10,38;10,38;10,38;1;1
2015.12.30 10:23;10,35;10,38;10,35;10,38;5;1
2015.12.30 10:27;10,36;10,36;10,36;10,36;1;1
2015.12.30 10:28;10,37;10,37;10,37;10,37;1;1
2015.12.30 10:30;10,37;10,37;10,37;10,37;1;1
2015.12.30 10:32;10,37;10,37;10,37;10,37;1;1
2015.12.30 10:33;10,37;10,37;10,37;10,37;1;1
2015.12.30 10:35;10,37;10,37;10,37;10,37;1;1
2015.12.30 10:37;10,37;10,38;10,37;10,38;2;1
2015.12.30 10:38;10,39;10,39;10,39;10,39;1;1
2015.12.30 10:43;10,32;10,40;10,32;10,40;6;1
2015.12.30 10:46;10,39;10,40;10,39;10,40;6;1
2015.12.30 10:47;10,36;10,40;10,36;10,40;8;1
2015.12.30 10:48;10,36;10,38;10,36;10,38;2;1
2015.12.30 10:50;10,34;10,34;10,31;10,32;8;1
2015.12.30 10:51;10,33;10,33;10,33;10,33;2;1
2015.12.30 10:52;10,33;10,36;10,33;10,36;3;1
2015.12.30 10:53;10,32;10,32;10,32;10,32;1;1
2015.12.30 10:54;10,32;10,37;10,32;10,37;7;1
2015.12.30 10:55;10,37;10,37;10,37;10,37;1;1
2015.12.30 10:56;10,37;10,38;10,37;10,38;3;1
2015.12.30 10:57;10,38;10,39;10,38;10,39;3;1
2015.12.30 10:58;10,35;10,35;10,35;10,35;3;1
2015.12.30 10:59;10,33;10,33;10,33;10,33;1;1
2015.12.30 11:00;10,36;10,36;10,36;10,36;1;1
2015.12.30 11:02;10,34;10,34;10,34;10,34;1;1
2015.12.30 11:03;10,34;10,34;10,34;10,34;1;1
2015.12.30 11:04;10,29;10,29;10,29;10,29;2;1
2015.12.30 11:05;10,33;10,33;10,33;10,33;1;1
2015.12.30 11:07;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:08;10,34;10,34;10,34;10,34;1;1
2015.12.30 11:10;10,29;10,33;10,29;10,33;2;1
2015.12.30 11:11;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:12;10,33;10,33;10,33;10,33;1;1
2015.12.30 11:13;10,31;10,32;10,29;10,32;6;1
2015.12.30 11:14;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:15;10,33;10,33;10,29;10,29;2;1
2015.12.30 11:17;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:18;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:20;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:21;10,30;10,31;10,30;10,31;4;1
2015.12.30 11:22;10,32;10,32;10,32;10,32;1;1
2015.12.30 11:23;10,30;10,30;10,30;10,30;1;1
2015.12.30 11:24;10,28;10,28;10,28;10,28;1;1
2015.12.30 11:25;10,30;10,30;10,30;10,30;1;1
2015.12.30 11:26;10,27;10,27;10,27;10,27;1;1
2015.12.30 11:27;10,30;10,30;10,30;10,30;1;1
2015.12.30 11:28;10,30;10,30;10,30;10,30;1;1
2015.12.30 11:29;10,30;10,30;10,30;10,30;1;1
2015.12.30 11:31;10,27;10,27;10,27;10,27;4;1
2015.12.30 11:32;10,26;10,26;10,24;10,26;6;1
2015.12.30 11:33;10,27;10,27;10,27;10,27;1;1
2015.12.30 11:34;10,28;10,28;10,28;10,28;2;1
2015.12.30 11:38;10,28;10,28;10,28;10,28;1;1
2015.12.30 11:42;10,30;10,30;10,30;10,30;1;1
2015.12.30 11:43;10,29;10,29;10,29;10,29;1;1
2015.12.30 11:46;10,33;10,35;10,33;10,35;14;1
2015.12.30 11:47;10,36;10,36;10,36;10,36;1;1
2015.12.30 11:48;10,36;10,36;10,33;10,33;2;1
2015.12.30 11:49;10,33;10,33;10,33;10,33;1;1
2015.12.30 11:50;10,35;10,36;10,35;10,36;3;1
2015.12.30 11:51;10,37;10,37;10,37;10,37;1;1
2015.12.30 11:53;10,38;10,38;10,38;10,38;1;1
2015.12.30 11:54;10,36;10,36;10,36;10,36;4;1
2015.12.30 11:55;10,34;10,34;10,34;10,34;5;1
2015.12.30 11:59;10,33;10,33;10,33;10,33;1;1
2015.12.30 12:04;10,33;10,33;10,32;10,32;2;1
2015.12.30 12:05;10,31;10,31;10,31;10,31;1;1
2015.12.30 12:06;10,31;10,34;10,31;10,34;4;1
