Time;Open;High;Low;Close;Volume;Spread
2015.12.30 10:02;2,04;2,04;2,03;2,03;34;1
2015.12.30 10:03;2,03;2,04;2,02;2,03;14;1
2015.12.30 10:04;2,04;2,04;2,04;2,04;2;1
2015.12.30 10:05;2,03;2,04;2,03;2,04;23;1
2015.12.30 10:06;2,03;2,03;2,02;2,02;6;1
2015.12.30 10:07;2,02;2,02;2,00;2,02;5;1
2015.12.30 10:08;2,01;2,02;2,00;2,02;18;1
2015.12.30 10:09;2,01;2,01;2,01;2,01;1;1
2015.12.30 10:10;2,01;2,01;2,01;2,01;8;1
2015.12.30 10:11;2,01;2,01;2,00;2,00;5;1
2015.12.30 10:12;2,00;2,01;2,00;2,01;4;1
2015.12.30 10:13;2,00;2,01;2,00;2,01;4;1
2015.12.30 10:14;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:15;2,00;2,00;2,00;2,00;4;1
2015.12.30 10:16;2,00;2,00;2,00;2,00;7;1
2015.12.30 10:17;2,00;2,01;2,00;2,00;5;1
2015.12.30 10:18;2,00;2,00;2,00;2,00;1;1
2015.12.30 10:19;2,00;2,00;2,00;2,00;1;1
2015.12.30 10:21;2,00;2,00;2,00;2,00;4;1
2015.12.30 10:24;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:26;2,00;2,00;2,00;2,00;1;1
2015.12.30 10:27;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:30;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:33;2,00;2,01;2,00;2,00;12;1
2015.12.30 10:34;2,00;2,00;2,00;2,00;1;1
2015.12.30 10:35;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:36;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:39;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:40;2,00;2,00;2,00;2,00;4;1
2015.12.30 10:41;2,00;2,00;2,00;2,00;2;1
2015.12.30 10:42;2,00;2,01;2,00;2,00;42;1
2015.12.30 10:43;2,00;2,00;2,00;2,00;6;1
2015.12.30 10:44;2,00;2,00;2,00;2,00;4;1
2015.12.30 10:45;2,00;2,00;2,00;2,00;6;1
2015.12.30 10:47;2,00;2,00;2,00;2,00;15;1
2015.12.30 10:48;2,00;2,00;1,99;1,99;17;1
2015.12.30 10:49;1,99;1,99;1,99;1,99;42;1
2015.12.30 10:50;1,99;1,99;1,98;1,98;8;1
2015.12.30 10:51;1,98;1,98;1,98;1,98;3;1
2015.12.30 10:52;1,98;1,99;1,98;1,99;14;1
2015.12.30 10:53;1,99;1,99;1,98;1,98;5;1
2015.12.30 10:55;1,98;1,98;1,98;1,98;1;1
2015.12.30 10:56;1,98;1,99;1,97;1,99;35;1
2015.12.30 10:57;1,99;1,99;1,99;1,99;8;1
2015.12.30 10:58;1,99;1,99;1,99;1,99;4;1
2015.12.30 11:00;1,99;1,99;1,99;1,99;5;1
2015.12.30 11:02;1,99;1,99;1,99;1,99;1;1
2015.12.30 11:03;1,99;1,99;1,99;1,99;6;1
2015.12.30 11:05;1,99;2,00;1,98;2,00;8;1
2015.12.30 11:07;1,99;1,99;1,99;1,99;1;1
2015.12.30 11:09;1,99;1,99;1,99;1,99;3;1
2015.12.30 11:10;1,99;1,99;1,99;1,99;2;1
2015.12.30 11:11;1,99;1,99;1,99;1,99;1;1
2015.12.30 11:12;1,99;1,99;1,99;1,99;8;1
2015.12.30 11:13;1,99;1,99;1,98;1,98;9;1
2015.12.30 11:14;1,99;1,99;1,98;1,98;9;1
2015.12.30 11:15;1,98;1,98;1,98;1,98;1;1
2015.12.30 11:16;1,98;1,98;1,98;1,98;6;1
2015.12.30 11:17;1,98;1,98;1,98;1,98;23;1
2015.12.30 11:18;1,98;1,98;1,98;1,98;1;1
2015.12.30 11:19;1,98;1,98;1,96;1,96;29;1
2015.12.30 11:20;1,97;1,97;1,96;1,96;12;1
2015.12.30 11:21;1,96;1,97;1,96;1,97;5;1
2015.12.30 11:22;1,96;1,97;1,96;1,96;7;1
2015.12.30 11:24;1,96;1,96;1,96;1,96;10;1
2015.12.30 11:25;1,95;1,95;1,95;1,95;9;1
2015.12.30 11:26;1,95;1,96;1,95;1,95;16;1
2015.12.30 11:27;1,96;1,96;1,96;1,96;5;1
2015.12.30 11:30;1,96;1,96;1,96;1,96;1;1
2015.12.30 11:31;1,96;1,96;1,96;1,96;13;1
2015.12.30 11:32;1,95;1,95;1,93;1,95;49;1
2015.12.30 11:33;1,95;1,95;1,93;1,93;6;1
2015.12.30 11:34;1,94;1,95;1,94;1,95;12;1
2015.12.30 11:35;1,94;1,94;1,94;1,94;2;1
2015.12.30 11:36;1,94;1,94;1,94;1,94;1;1
2015.12.30 11:37;1,94;1,94;1,94;1,94;4;1
2015.12.30 11:38;1,94;1,95;1,93;1,94;26;1
2015.12.30 11:39;1,94;1,95;1,94;1,95;2;1
2015.12.30 11:40;1,95;1,98;1,95;1,98;41;1
