Time;Open;High;Low;Close;Volume;Spread
2015.12.30 10:05;6,67;6,67;6,62;6,62;6;1
2015.12.30 10:07;6,69;6,69;6,67;6,67;6;1
2015.12.30 10:36;6,78;6,78;6,78;6,78;1;1
2015.12.30 12:01;6,81;6,81;6,81;6,81;1;1
2015.12.30 16:14;6,81;6,81;6,81;6,81;1;1
2015.12.30 16:22;6,85;6,86;6,85;6,86;2;1
2015.12.30 16:23;6,86;6,86;6,86;6,86;2;1
2015.12.30 16:25;6,86;6,86;6,85;6,85;2;1
2015.12.30 16:55;6,86;6,86;6,86;6,86;2;1
2015.12.30 16:56;6,86;6,86;6,86;6,86;1;1
2015.12.30 16:57;6,86;6,86;6,86;6,86;1;1
2015.12.30 16:58;6,86;6,86;6,86;6,86;1;1
2015.12.30 17:00;6,86;6,86;6,86;6,86;1;1
2015.12.30 17:02;6,86;6,86;6,86;6,86;1;1
2015.12.30 17:11;6,87;6,87;6,87;6,87;1;1
2015.12.30 17:12;6,88;6,90;6,88;6,88;7;1
2015.12.30 17:26;6,86;6,86;6,86;6,86;1;1
2015.12.30 17:49;6,84;6,84;6,84;6,84;1;1
2015.12.29 10:07;7,00;7,00;7,00;7,00;1;1
2015.12.29 10:08;7,00;7,00;6,77;6,77;6;1
2015.12.29 10:12;6,99;6,99;6,99;6,99;1;1
2015.12.29 10:13;6,97;6,97;6,97;6,97;1;1
2015.12.29 10:14;6,97;6,97;6,97;6,97;1;1
2015.12.29 10:16;6,97;6,97;6,97;6,97;1;1
2015.12.29 10:17;6,97;6,97;6,97;6,97;1;1
2015.12.29 10:23;6,99;6,99;6,99;6,99;1;1
2015.12.29 12:11;7,00;7,00;7,00;7,00;1;1
2015.12.29 16:57;6,89;6,89;6,89;6,89;1;1
2015.12.29 17:06;6,89;6,90;6,89;6,90;2;1
2015.12.29 17:09;6,89;6,89;6,89;6,89;2;1
2015.12.29 17:12;6,86;6,86;6,86;6,86;1;1
2015.12.29 18:00;6,76;6,76;6,76;6,76;1;1
2015.12.28 10:22;6,76;6,76;6,76;6,76;1;1
2015.12.28 10:55;6,95;6,95;6,95;6,95;1;1
2015.12.28 10:56;6,96;6,96;6,75;6,86;8;1
2015.12.28 10:59;6,95;6,95;6,95;6,95;1;1
2015.12.28 11:03;6,97;6,97;6,97;6,97;2;1
2015.12.28 11:04;6,96;6,96;6,86;6,86;3;1
2015.12.28 11:08;6,95;6,96;6,77;6,77;4;1
2015.12.28 12:15;6,93;6,93;6,93;6,93;1;1
2015.12.28 12:16;6,93;6,93;6,93;6,93;2;1
2015.12.28 12:20;6,93;6,93;6,93;6,93;1;1
2015.12.28 13:39;6,97;6,97;6,97;6,97;7;1
2015.12.28 13:53;6,99;6,99;6,99;6,99;1;1
2015.12.28 14:46;6,95;6,95;6,95;6,95;1;1
2015.12.28 15:04;6,99;6,99;6,99;6,99;1;1
2015.12.28 16:09;6,99;7,15;6,99;7,00;29;1
2015.12.28 16:11;7,10;7,10;7,10;7,10;4;1
2015.12.28 16:14;6,93;6,93;6,81;6,81;2;1
2015.12.28 16:16;6,93;6,93;6,93;6,93;1;1
2015.12.28 16:18;6,92;6,92;6,91;6,91;8;1
2015.12.28 16:23;6,91;6,91;6,91;6,91;4;1
2015.12.28 16:42;6,91;6,91;6,90;6,90;3;1
2015.12.28 17:04;6,89;6,89;6,89;6,89;2;1
2015.12.23 10:10;6,83;6,83;6,83;6,83;1;1
2015.12.23 10:20;6,75;6,75;6,75;6,75;1;1
2015.12.23 10:22;6,86;6,87;6,86;6,87;4;1
2015.12.23 10:23;6,86;6,86;6,86;6,86;2;1
2015.12.23 10:24;6,84;6,84;6,84;6,84;1;1
2015.12.23 13:48;6,81;6,81;6,78;6,78;3;1
2015.12.23 13:50;6,78;6,78;6,76;6,76;2;1
2015.12.23 14:14;6,93;6,93;6,93;6,93;4;1
2015.12.23 14:30;6,93;6,93;6,93;6,93;1;1
2015.12.23 14:31;6,93;6,94;6,93;6,94;5;1
2015.12.23 14:32;6,93;6,95;6,93;6,93;7;1
2015.12.23 14:33;6,93;6,96;6,93;6,96;3;1
2015.12.23 14:34;6,96;6,96;6,94;6,95;7;1
2015.12.23 14:35;6,95;6,95;6,95;6,95;2;1
2015.12.23 14:36;6,95;6,96;6,95;6,96;3;1
2015.12.23 14:37;6,96;6,96;6,96;6,96;1;1
2015.12.23 14:38;6,96;6,96;6,96;6,96;1;1
2015.12.23 14:41;6,96;6,96;6,96;6,96;1;1
2015.12.23 14:42;6,96;6,96;6,96;6,96;1;1
2015.12.23 16:47;6,86;6,86;6,86;6,86;1;1
2015.12.22 10:04;6,86;6,86;6,86;6,86;1;1
2015.12.22 10:37;6,86;6,86;6,86;6,86;1;1
2015.12.22 11:40;6,76;6,76;6,76;6,76;2;1
2015.12.22 12:25;6,73;6,73;6,71;6,71;3;1
2015.12.22 12:26;6,75;6,75;6,75;6,75;1;1
2015.12.22 12:27;6,75;6,75;6,75;6,75;1;1
2015.12.22 14:32;6,71;6,71;6,71;6,71;1;1
2015.12.22 14:45;6,71;6,71;6,71;6,71;1;1
2015.12.22 15:16;6,66;6,66;6,66;6,66;1;1
2015.12.22 16:20;6,75;6,86;6,75;6,76;4;1
2015.12.22 16:21;6,75;6,75;6,75;6,75;1;1
2015.12.22 16:22;6,75;6,75;6,75;6,75;1;1
2015.12.21 10:21;6,82;6,82;6,67;6,67;6;1
2015.12.21 11:24;6,89;6,89;6,89;6,89;2;1
2015.12.21 11:25;6,89;6,89;6,89;6,89;7;1
2015.12.21 11:26;6,89;6,89;6,89;6,89;4;1
2015.12.21 11:27;6,88;6,89;6,88;6,89;2;1
2015.12.21 11:39;6,84;6,84;6,84;6,84;1;1
2015.12.21 11:41;6,82;6,82;6,79;6,79;10;1
2015.12.21 11:42;6,79;6,79;6,79;6,79;16;1
2015.12.21 16:05;6,86;6,88;6,86;6,88;3;1
2015.12.21 17:00;6,88;6,88;6,88;6,88;2;1
2015.12.18 10:07;6,84;6,84;6,81;6,81;4;1
2015.12.18 11:21;7,04;7,04;7,04;7,04;2;1
2015.12.18 11:30;6,90;6,90;6,90;6,90;1;1
2015.12.18 11:33;6,90;6,90;6,90;6,90;1;1
2015.12.18 11:34;6,90;6,90;6,90;6,90;1;1
2015.12.18 11:35;6,90;6,90;6,90;6,90;2;1
2015.12.18 11:36;6,90;6,90;6,90;6,90;1;1
2015.12.18 11:47;6,85;6,85;6,84;6,84;2;1
2015.12.18 12:15;6,87;6,87;6,87;6,87;1;1
2015.12.18 12:47;6,99;7,00;6,99;7,00;6;1
2015.12.18 12:48;7,03;7,03;7,03;7,03;1;1
2015.12.18 12:49;6,98;6,98;6,97;6,97;4;1
2015.12.18 16:14;6,91;6,91;6,91;6,91;2;1
2015.12.18 16:24;6,91;6,91;6,90;6,90;2;1
2015.12.18 16:28;6,86;6,86;6,63;6,63;7;1
2015.12.17 10:08;7,10;7,10;7,10;7,10;1;1
2015.12.17 10:11;7,10;7,10;7,10;7,10;5;1
2015.12.17 10:12;7,10;7,10;7,10;7,10;16;1
2015.12.17 10:15;7,15;7,15;7,15;7,15;2;1
2015.12.17 10:16;7,15;7,15;7,15;7,15;2;1
2015.12.17 10:17;7,19;7,19;7,19;7,19;4;1
2015.12.17 10:21;7,10;7,10;7,10;7,10;1;1
2015.12.17 10:29;7,10;7,10;7,10;7,10;1;1
2015.12.17 11:15;7,19;7,19;7,19;7,19;1;1
2015.12.17 11:44;7,28;7,28;7,28;7,28;1;1
2015.12.17 11:53;7,41;7,41;7,41;7,41;1;1
